0	710	0	3	0	0
1	710	0	3	0	3
1	710	0	3	0	0
1	710	1	3	1	2
1	710	1	3	1	2
1	710	0	3	0	0
0	710	0	3	0	2
0	710	0	3	0	2
1	710	0	3	0	0
1	710	0	3	0	2
1	710	0	3	0	4
1	710	1	3	0	1
0	710	0	3	1	0
0	710	0	3	0	0
1	710	0	3	0	3
0	710	0	3	0	2
1	710	0	3	0	2
1	710	0	3	0	3
1	710	0	3	0	3
1	710	0	3	0	2
0	781	2	3	0	0
0	781	2	3	1	0
1	710	0	3	0	4
1	710	0	3	0	3
1	710	0	3	0	1
0	781	2	3	1	2
1	852	3	3	0	0
1	852	3	3	1	0
1	852	3	3	0	0
1	852	3	3	1	0
1	710	0	3	0	2
0	710	0	3	0	3
1	710	0	3	0	2
1	710	1	3	1	2
1	710	1	3	1	2
0	710	0	3	0	3
1	710	0	3	0	1
1	710	0	3	0	2
1	710	0	3	0	3
0	710	0	3	0	2
1	710	0	3	0	3
1	710	0	3	0	2
0	781	1	3	1	0
0	781	1	3	0	3
1	710	0	3	0	0
1	710	0	3	0	1
1	710	0	3	0	0
1	710	0	3	0	0
0	710	0	3	1	0
0	710	0	3	1	0
1	710	0	3	0	3
1	710	0	3	0	4
0	710	0	3	0	0
1	781	1	3	0	0
1	781	1	3	1	0
1	710	1	3	0	0
1	710	1	3	0	0
1	710	0	3	0	0
1	710	2	3	1	2
1	710	2	3	0	2
0	852	2	3	1	0
0	852	4	3	0	2
0	852	2	3	1	2
1	781	2	3	1	0
1	710	2	3	0	1
1	781	2	3	1	3
1	710	0	3	0	0
0	710	0	3	0	2
1	710	0	3	0	0
1	710	0	3	1	3
1	710	0	3	0	0
0	1065	0	3	0	0
1	1065	0	3	0	0
0	710	0	3	1	2
1	710	0	3	0	0
0	1065	0	3	0	2
1	710	0	3	0	2
1	710	0	3	0	2
1	710	0	3	0	2
0	710	0	3	0	2
1	852	4	3	0	0
1	852	4	3	1	0
1	852	4	3	1	0
1	852	4	3	1	0
1	852	4	3	1	0
1	710	0	3	0	3
1	710	0	3	0	3
1	781	1	3	1	0
1	781	1	3	0	0
1	710	0	3	0	3
1	852	0	3	0	3
1	710	0	3	0	2
1	710	0	3	1	2
1	710	0	3	1	4
1	781	1	3	0	3
1	781	1	3	1	3
0	710	1	3	0	2
1	710	0	3	0	0
1	1065	0	3	0	2
1	710	0	3	0	0
1	781	1	3	0	3
1	781	1	3	1	2
1	710	0	3	0	0
1	710	0	3	0	2
0	710	0	3	0	2
1	710	0	3	0	5
0	710	0	3	1	2
0	710	0	3	0	3
1	710	0	3	0	0
1	710	0	3	0	0
0	710	0	3	1	0
0	710	0	3	0	2
1	710	0	3	0	2
1	710	0	3	1	0
1	710	0	3	0	0
1	710	0	3	0	0
1	710	0	3	0	2
0	710	0	3	0	0
1	710	0	3	1	3
0	710	0	3	1	0
1	710	0	3	0	0
1	710	0	3	0	3
1	710	0	3	0	3
0	710	0	3	1	0
1	710	0	3	0	0
0	710	0	3	1	0
0	710	0	3	0	0
0	852	2	3	1	0
0	852	2	3	1	0
0	852	2	3	0	0
0	710	0	3	1	0
1	781	0	3	0	0
